Designator,Footprint,Quantity,Value,LCSC Part #
"AC, OUT2, OUT3, OUT4, OUT5, OUT6, OUT_1",CONN-TH_2P-P5.00_WJ500V-5.08-2P,7,WJ500V-5.08-2P-14-00A,
BAT1,BAT-SMD_BS-CR2032-8,1,BS-CR2032-8,
"C1, C2",C0805,2,10uF,
"C10, C9",C0805,2,100nF,
"D1, D2, D3, D4, D5, D6",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,6,1N4007,
D7,SMA_L4.3-W2.6-LS5.2-RD,1,C8678,
FH1,64600001003,1,64600001003,
HOLE_GGE9527,Hole_gge9527,1,Hole_gge9527,
HOLE_GGE9566,Hole_gge9566,1,Hole_gge9566,
HOLE_GGE9581,Hole_gge9581,1,Hole_gge9581,
HOLE_GGE9596,Hole_gge9596,1,Hole_gge9596,
"LED1, LED2, LED3, LED4, LED5, LED6",LED0805-R-RD_RED,6,YLED0805R,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-92-3_L5.1-W4.1-P1.27-L,6,S8050D331,
"R1, R2, R3, R4, R5, R6",RES-TH_BD5.0-L15.5-P19.50-D0.7,6,1kΩ,
"R13, R14",R0805,2,4.7kΩ,
"R15, R7",RES-TH_BD4.5-L11.5-P15.50-D0.7,2,10kΩ,
"R16, R17",R0402,2,5.1kΩ,
"RLY1, RLY2, RLY3, RLY4, RLY5, RLY6",RELAY-TH_SRD-XXVDC-XL-C,6,SRD-05VDC-SL-C,
SW1,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,Boot,
SW2,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,Reset,
U1,WIFI-SMD_ESP32-WROOM-32E,1,ESP32,
U10,PWRM-TH_HLK-PM01,1,HLK-PM01,
U13,TYPE-C-SMD_TYPEC16PL7.35MM,1,TYPEC-700-ARP16X7,
U14,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C,
U2,SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,1,DS3231SN#,
"U3, U4, U5, U6, U7, U8",RES-TH_BD2.3-L3.7-P7.70-D0.9,6,220Ω,
U9,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,
